Price,Close,High,Low,Open,Volume,Close_diff,LogReturn,Volatility
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,
Date,,,,,,,,
2020-07-06,1649.3487548828125,1652.3890971711419,1633.230286868971,1649.4452493735757,1236670,12.7403564453125,0.007754465254676664,0.01524007379280279
2020-07-07,1684.9638671875,1688.9693898486148,1646.4531414606809,1649.4451774632403,2983260,35.6151123046875,0.0213636037788754,0.015825996491254626
2020-07-08,1627.535888671875,1700.4553346962996,1621.5518157050908,1689.0661557751112,2725937,-57.427978515625,-0.034676973500016625,0.017901890197950732
2020-07-09,1657.45654296875,1662.0411512547314,1633.1822250063615,1635.0160918847357,1904661,29.920654296875,0.018217078045362614,0.017796145260872854
2020-07-10,1644.185302734375,1651.424157897573,1636.1742558924725,1648.480309669909,1156043,-13.271240234375,-0.008039219473309586,0.017678058817661407
2020-07-13,1646.260498046875,1672.5616723380008,1640.8072034830814,1648.5286491465313,1289791,2.0751953125,0.0012613461599291296,0.017382492059285867
2020-07-14,1629.61083984375,1658.180160133054,1623.530155341616,1646.2602040825714,1347120,-16.649658203125,-0.010165113249151744,0.017616988450915087
2020-07-15,1613.444091796875,1653.9333687872265,1605.3848577592353,1640.806936856354,1611341,-16.166748046875,-0.009970156107373522,0.017322213967472813
2020-07-16,1634.2437744140625,1638.0080023862718,1587.8186102765476,1621.3104483955533,1442725,20.7996826171875,0.012809092413966976,0.01747744673833604
2020-07-17,1658.083984375,1681.8274065505548,1630.9141235115064,1635.9813222973833,2308792,23.8402099609375,0.014482535397993365,0.017446335122043154
2020-07-20,1690.6102294921875,1696.1600176601899,1660.351842783666,1666.8668115026253,1848600,32.5262451171875,0.019426836843959978,0.017509331275891857
2020-07-21,1664.212646484375,1710.0587248999225,1659.1454483437092,1699.6830334690353,2088461,-26.3975830078125,-0.015737419707458775,0.017551551479369328
2020-07-22,1636.7049560546875,1675.939569896492,1632.1203483346462,1664.2126023749342,1300409,-27.5076904296875,-0.016667078989902266,0.01581188586697159
2020-07-23,1669.115478515625,1680.901059464024,1629.7011996067865,1632.5993048817245,2375218,32.4105224609375,0.019608784926433094,0.014513288734807379
2020-07-24,1653.9005126953125,1668.3426909043308,1624.871109496864,1665.4445854771661,3971563,-15.2149658203125,-0.009157387255911737,0.014688982340947314
2020-07-27,1717.755615234375,1727.2710389277393,1658.8756955857425,1658.8756955857425,6470525,63.8551025390625,0.037882118597806325,0.016873641876967847
2020-07-28,1699.8837890625,1731.7629492709293,1691.5759102899945,1718.576545781691,2534092,-17.871826171875,-0.010458674520530984,0.017088558415499444
2020-07-29,1681.046142578125,1719.4460409949183,1671.2408619132705,1709.882269125138,1530981,-18.837646484375,-0.011143585819477855,0.01734316403347164
2020-07-30,1684.1373291015625,1717.6104701158272,1669.4052932920763,1692.4935566045722,2113975,3.0911865234375,0.0018371583118050197,0.017333331558591014
2020-07-31,1657.2332763671875,1710.751646504488,1652.3065207567672,1694.4256291157371,1678643,-26.904052734375,-0.01610395094938035,0.01775323674750969
2020-08-03,1647.572998046875,1676.0710358319134,1639.8447166136443,1670.2748247569903,1437425,-9.6602783203125,-0.005846216106139323,0.01772628323476633
2020-08-04,1655.7359619140625,1676.071049774092,1650.519466242612,1660.6144867790572,1815396,8.1629638671875,0.004942305174656834,0.017049420662463757
2020-08-05,1658.00634765625,1682.7850574929932,1654.3353665345417,1659.648560412463,1416803,2.2703857421875,0.0013702852457089245,0.015079551277843358
2020-08-06,1668.8739013671875,1692.5899911408999,1661.6768694747716,1673.2210591014868,1914507,10.8675537109375,0.006533203212740351,0.014592953865047258
2020-08-07,1744.9010009765625,1755.1892989754676,1667.0868219709396,1668.874081349373,5166075,76.027099609375,0.044548732659819144,0.017459301139802926
2020-08-10,1721.812744140625,1762.3379898642017,1716.6444796185688,1748.5236399041135,1892614,-23.0882568359375,-0.01332016422778526,0.01783493419038853
2020-08-11,1728.768310546875,1775.3795081708304,1719.5426273707888,1738.8633310491123,3039662,6.95556640625,0.004031538872394091,0.017595987840729823
2020-08-12,1736.206787109375,1744.659595225779,1711.8143979734664,1729.1546828825728,1679096,7.4384765625,0.004293530417876834,0.017331689933530205
2020-08-13,1741.3267822265625,1753.3538731953226,1727.2709230155576,1745.0459941303152,1192375,5.1199951171875,0.0029446150351234903,0.01719766261880898
2020-08-14,1741.3267822265625,1767.84440107297,1734.5161869543813,1756.9281562354552,1868376,0.0,0.0,0.017000182534263945
2020-08-17,1774.3167724609375,1779.9198236889122,1740.6504699369295,1758.1840320834845,1634180,32.989990234375,0.018768090726525768,0.01696616183962488
2020-08-18,1810.4464111328125,1820.0101824918954,1768.810320670202,1768.810320670202,2586298,36.129638671875,0.020158018948629883,0.016842848928670686
2020-08-19,1821.6524658203125,1837.7853238511486,1808.9491977235498,1825.806464204856,1947114,11.2060546875,0.006170586552874139,0.016111150870588245
2020-08-20,1811.2193603515625,1816.1461161242908,1793.9756561849063,1804.5053451783826,1538879,-10.43310546875,-0.005743739196294942,0.015926780817509055
2020-08-21,1891.4969482421875,1906.2289852496917,1816.8707279910593,1823.7779033531922,5688228,80.277587890625,0.04336825347381479,0.01784349604657521
2020-08-24,1895.5057373046875,1928.2060008586573,1874.108036906711,1891.4966681769795,3996329,4.0087890625,0.002117131089008098,0.016278769271721994
2020-08-25,1932.6497802734375,1948.3478505087155,1897.2929195129757,1897.5344282858262,3544399,37.14404296875,0.01940632166651584,0.016162858309650002
2020-08-26,1904.44189453125,1940.7647959477165,1889.0819106399997,1932.9881651008845,2245810,-28.2078857421875,-0.014703007534040701,0.016384469618985396
2020-08-27,1915.164794921875,1940.7647278678671,1903.1377037829739,1913.6191621779042,3116305,10.722900390625,0.005614676814662913,0.01635280258644732
2020-08-28,1891.593505859375,1929.1722988101246,1886.9566076433064,1926.2741932034996,1842536,-23.5712890625,-0.01238407508478177,0.016102281660558458
2020-08-31,1834.5975341796875,1916.517371196375,1817.3538284158428,1909.851704333885,2738522,-56.9959716796875,-0.030594468606574006,0.017954549105828513
2020-09-01,1912.0733642578125,1920.477822650028,1842.9535041049248,1859.6176099604143,3068285,77.475830078125,0.04136305429256641,0.019672985205917735
2020-09-02,1877.9239501953125,1929.1721611861924,1859.6176315890937,1910.7691447272757,2569603,-34.1494140625,-0.01802129945835481,0.020438245814739697
2020-09-03,1910.8175048828125,1920.3329274168254,1878.9383452968,1883.96168084976,1931667,32.8935546875,0.017364278652286597,0.020589705705182013
2020-09-04,1889.903076171875,1925.984469908017,1884.734811064156,1891.4970579516237,1930422,-20.9144287109375,-0.011005618206923425,0.01890295121081253
2020-09-07,1914.7781982421875,1935.5963023617592,1881.9330039825038,1898.259021184659,2855392,24.8751220703125,0.01307624724452078,0.018548820532146727
